SeriesID,SeriesCode,Series,Unit,Database,Year,AreaName,AreaCode,DisaggregationGroup,Disaggregation1,Disaggregation2,Value,Notes,Source,LastModifiedOn
9239,HHU4212-%_POP-ISCED34-MALE,HH07 - Individuals who used the internet (from any location) - %_POP - ISCED34 - MALE,% of individuals,ITU Households Database,2023,France,FRA,Gender,Upper secondary,Male,90.19542503620123,,Institut National de la Statistique et des Etudes Economiques,2026-07-07
9237,HHU4212-%_POP-ISCED34-,HH07 - Individuals who used the internet (from any location) - %_POP - ISCED34,% of individuals,ITU Households Database,2023,France,FRA,Education,Upper secondary,,90.60960490602469,,Institut National de la Statistique et des Etudes Economiques,2026-07-07
9231,HHU4212-%_POP-ISCED01-,HH07 - Individuals who used the internet (from any location) - %_POP - ISCED01,% of individuals,ITU Households Database,2023,France,FRA,Education,Primary or less,,48.2106444589469,,Institut National de la Statistique et des Etudes Economiques,2025-07-04
8810,HHA4213-%_HH-CHILDREN-,HH06 - Households with Internet access at home - %_HH - CHILDREN,% of households,ITU Households Database,2023,France,FRA,Family,Children,,98.58198255854583,,Institut National de la Statistique et des Etudes Economiques,2026-07-06
8816,HHA4213-%_HH-NOCHILDREN-,HH06 - Households with Internet access at home - %_HH - NOCHILDREN,% of households,ITU Households Database,2023,France,FRA,Family,No Children,,85.24842181248825,,Institut National de la Statistique et des Etudes Economiques,2026-07-05
9236,HHU4212-%_POP-ISCED2-MALE,HH07 - Individuals who used the internet (from any location) - %_POP - ISCED2 - MALE,% of individuals,ITU Households Database,2023,France,FRA,Gender,Lower secondary,Male,88.362243848471,,Institut National de la Statistique et des Etudes Economiques,2025-07-04
8811,HHA4213-%_HH-CHILDREN-RURAL,HH06 - Households with Internet access at home - %_HH - CHILDREN - RURAL,% of households,ITU Households Database,2023,France,FRA,Location,Children,Rural,98.91161360523594,,Institut National de la Statistique et des Etudes Economiques,2026-07-06
9232,HHU4212-%_POP-ISCED01-FEMALE,HH07 - Individuals who used the internet (from any location) - %_POP - ISCED01 - FEMALE,% of individuals,ITU Households Database,2023,France,FRA,Gender,Primary or less,Female,46.660101130461854,,Institut National de la Statistique et des Etudes Economiques,2026-07-07
9238,HHU4212-%_POP-ISCED34-FEMALE,HH07 - Individuals who used the internet (from any location) - %_POP - ISCED34 - FEMALE,% of individuals,ITU Households Database,2023,France,FRA,Gender,Upper secondary,Female,91.05516151577524,,Institut National de la Statistique et des Etudes Economiques,2026-07-07
9233,HHU4212-%_POP-ISCED01-MALE,HH07 - Individuals who used the internet (from any location) - %_POP - ISCED01 - MALE,% of individuals,ITU Households Database,2023,France,FRA,Gender,Primary or less,Male,50.344631797280414,,Institut National de la Statistique et des Etudes Economiques,2026-07-07
8812,HHA4213-%_HH-CHILDREN-URBAN,HH06 - Households with Internet access at home - %_HH - CHILDREN - URBAN,% of households,ITU Households Database,2023,France,FRA,Location,Children,Urban,98.49038612839689,,Institut National de la Statistique et des Etudes Economiques,2026-07-05
9234,HHU4212-%_POP-ISCED2-,HH07 - Individuals who used the internet (from any location) - %_POP - ISCED2,% of individuals,ITU Households Database,2023,France,FRA,Education,Lower secondary,,88.54934503640034,,Institut National de la Statistique et des Etudes Economiques,2026-07-07
8818,HHA4213-%_HH-NOCHILDREN-URBAN,HH06 - Households with Internet access at home - %_HH - NOCHILDREN - URBAN,% of households,ITU Households Database,2023,France,FRA,Location,No Children,Urban,86.03365321340578,,Institut National de la Statistique et des Etudes Economiques,2026-07-05
9240,HHU4212-%_POP-ISCED56-,HH07 - Individuals who used the internet (from any location) - %_POP - ISCED56,% of individuals,ITU Households Database,2023,France,FRA,Education,Tertiary education,,97.61549487937704,,Institut National de la Statistique et des Etudes Economiques,2026-07-07
9241,HHU4212-%_POP-ISCED56-FEMALE,HH07 - Individuals who used the internet (from any location) - %_POP - ISCED56 - FEMALE,% of individuals,ITU Households Database,2023,France,FRA,Gender,Tertiary education,Female,97.73655057780162,,Institut National de la Statistique et des Etudes Economiques,2026-07-07
8817,HHA4213-%_HH-NOCHILDREN-RURAL,HH06 - Households with Internet access at home - %_HH - NOCHILDREN - RURAL,% of households,ITU Households Database,2023,France,FRA,Location,No Children,Rural,82.1904709394685,,Institut National de la Statistique et des Etudes Economiques,2025-07-04
9235,HHU4212-%_POP-ISCED2-FEMALE,HH07 - Individuals who used the internet (from any location) - %_POP - ISCED2 - FEMALE,% of individuals,ITU Households Database,2023,France,FRA,Gender,Lower secondary,Female,88.71547693488007,,Institut National de la Statistique et des Etudes Economiques,2026-07-07
12047,xHH6_IDI,Estimated proportion of households with Internet access at home,% of households,ITU World Telecommunication Indicators Database,2023,Ghana,GHA,,,,70.51436381,,ITU estimate.,2026-02-02
12047,xHH6_IDI,Estimated proportion of households with Internet access at home,% of households,ITU World Telecommunication Indicators Database,2023,Nigeria,NGA,,,,41.67053979,,ITU estimate.,2026-02-02
12047,xHH6_IDI,Estimated proportion of households with Internet access at home,% of households,ITU World Telecommunication Indicators Database,2023,Portugal,PRT,,,,89.00624455,Households with at least one individual aged 16 to 74 years old,Instituto Nacional de Estatistica,2026-02-02
9236,HHU4212-%_POP-ISCED2-MALE,HH07 - Individuals who used the internet (from any location) - %_POP - ISCED2 - MALE,% of individuals,ITU Households Database,2023,Portugal,PRT,Gender,Lower secondary,Male,92.72418966539897,,Instituto Nacional de Estatistica,2026-07-07
8810,HHA4213-%_HH-CHILDREN-,HH06 - Households with Internet access at home - %_HH - CHILDREN,% of households,ITU Households Database,2023,Portugal,PRT,Family,Children,,98.55267681125868,,Instituto Nacional de Estatistica,2026-07-06
9231,HHU4212-%_POP-ISCED01-,HH07 - Individuals who used the internet (from any location) - %_POP - ISCED01,% of individuals,ITU Households Database,2023,Portugal,PRT,Education,Primary or less,,53.43953240960303,,Instituto Nacional de Estatistica,2026-07-07
9232,HHU4212-%_POP-ISCED01-FEMALE,HH07 - Individuals who used the internet (from any location) - %_POP - ISCED01 - FEMALE,% of individuals,ITU Households Database,2023,Portugal,PRT,Gender,Primary or less,Female,48.951871199270016,,Instituto Nacional de Estatistica,2026-07-07
9233,HHU4212-%_POP-ISCED01-MALE,HH07 - Individuals who used the internet (from any location) - %_POP - ISCED01 - MALE,% of individuals,ITU Households Database,2023,Portugal,PRT,Gender,Primary or less,Male,57.96911234300938,,Instituto Nacional de Estatistica,2026-07-07
9234,HHU4212-%_POP-ISCED2-,HH07 - Individuals who used the internet (from any location) - %_POP - ISCED2,% of individuals,ITU Households Database,2023,Portugal,PRT,Education,Lower secondary,,91.51358014321723,,Instituto Nacional de Estatistica,2026-07-07
9235,HHU4212-%_POP-ISCED2-FEMALE,HH07 - Individuals who used the internet (from any location) - %_POP - ISCED2 - FEMALE,% of individuals,ITU Households Database,2023,Portugal,PRT,Gender,Lower secondary,Female,90.15958733602304,,Instituto Nacional de Estatistica,2026-07-07
9237,HHU4212-%_POP-ISCED34-,HH07 - Individuals who used the internet (from any location) - %_POP - ISCED34,% of individuals,ITU Households Database,2023,Portugal,PRT,Education,Upper secondary,,98.0911290343951,,Instituto Nacional de Estatistica,2025-07-04
9238,HHU4212-%_POP-ISCED34-FEMALE,HH07 - Individuals who used the internet (from any location) - %_POP - ISCED34 - FEMALE,% of individuals,ITU Households Database,2023,Portugal,PRT,Gender,Upper secondary,Female,98.10860101711245,,Instituto Nacional de Estatistica,2026-07-07
9239,HHU4212-%_POP-ISCED34-MALE,HH07 - Individuals who used the internet (from any location) - %_POP - ISCED34 - MALE,% of individuals,ITU Households Database,2023,Portugal,PRT,Gender,Upper secondary,Male,98.07378286886167,,Instituto Nacional de Estatistica,2026-07-07
9240,HHU4212-%_POP-ISCED56-,HH07 - Individuals who used the internet (from any location) - %_POP - ISCED56,% of individuals,ITU Households Database,2023,Portugal,PRT,Education,Tertiary education,,98.782479507034,,Instituto Nacional de Estatistica,2025-07-04
